Price,Property Type,Rooms,Den Included,Number of Bathrooms,Latitude,Longitude,Size (sqft),Walk Score,Transit Score,Bike Score,Time to Nearest Hospital,Time to Nearest Police Station,Time to Nearest Store,Time to Nearest Pharmacy
1829,Apartment,1.0,0.0,1.0,44.6869041,-63.5805506,723,89,65,80,591.0,673.0,284.0,182.0
1612,Apartment,1.0,0.0,1.0,44.6363934,-63.5716318,634,89,65,80,246.0,164.0,92.0,102.0
1350,Apartment,1.0,0.0,1.0,44.6609824,-63.6156802,634,89,62,50,472.0,552.0,167.0,236.0
2900,House,4.0,0.0,1.5,44.5952896,-63.6358174,2267,89,65,80,1046.0,989.0,383.0,370.0
3900,House,3.0,0.0,2.0,44.6316951,-63.5779339,2000,89,65,80,243.0,257.0,186.0,217.0
3000,House,3.0,0.0,1.0,44.6681392,-63.6139211,1792,89,65,64,501.0,452.0,292.0,131.0
2500,Apartment,3.0,0.0,1.5,44.6313112,-63.6249489,1900,89,65,80,642.0,585.0,277.0,278.0
1699,Apartment,1.0,0.0,1.0,44.6853897,-63.5827401,538,89,65,80,615.0,639.0,250.0,92.0
1800,House,2.0,0.0,1.0,44.6228293,-63.6170786,1107,60,50,41,693.0,635.0,85.0,121.0
1649,Apartment,1.0,0.0,1.0,44.6869041,-63.5805506,431,89,65,80,591.0,673.0,284.0,182.0
2549,Apartment,2.0,0.0,1.0,44.65687,-63.64882,1129,89,65,80,915.0,856.0,224.0,175.0
3200,House,4.0,1.0,2.0,44.5952896,-63.6358174,1560,70,51,41,1046.0,989.0,383.0,370.0
1975,House,3.0,1.0,1.0,44.5939237,-63.6234094,2149,89,65,80,1107.0,1049.0,443.0,430.0
1350,Apartment,1.0,0.0,1.0,44.6609824,-63.6156802,634,91,62,80,472.0,552.0,167.0,236.0
2008,Apartment,1.0,0.0,1.0,44.6562544,-63.6499743,747,84,60,50,941.0,882.0,233.0,184.0
2700,House,3.0,1.0,1.0,44.6494159,-63.6380177,1250,70,51,41,791.0,733.0,232.0,119.0
1375,House,5.0,0.0,1.5,44.6431623,-63.588612,1800,89,65,80,173.0,328.0,217.0,115.0
2700,House,2.0,0.0,2.0,44.6371302,-63.586303,1107,89,65,80,193.0,296.0,288.0,118.0
3500,House,3.0,0.0,1.5,44.6513823,-63.6092713,2149,89,65,70,415.0,484.0,159.0,209.0
2200,House,3.0,1.0,1.0,44.6716225,-63.5589485,2149,89,65,78,351.0,694.0,444.0,275.0
2995,House,4.0,1.0,2.0,44.6672971,-63.5515236,2267,89,65,80,275.0,760.0,510.0,266.0
2200,Apartment,1.0,0.0,1.0,44.6750777,-63.5655954,800,89,65,80,480.0,599.0,352.0,289.0
2800,House,2.0,0.0,1.0,44.6430762,-63.5989806,954,68,61,63,323.0,260.0,139.0,217.0
3100,House,4.0,0.0,3.5,44.6752555,-63.6582405,2267,68,50,40,1052.0,993.0,314.0,313.0
1275,House,2.0,0.0,1.5,44.6450065,-63.5746568,1032,89,65,80,282.0,246.0,233.0,195.0
3000,House,3.0,0.0,1.0,44.6341393,-63.5730148,1800,99,73,72,251.0,185.0,113.0,178.0
1275,House,1.0,0.0,1.0,44.6353288,-63.5897086,600,89,65,80,231.0,279.0,292.0,164.0
3600,House,4.0,0.0,2.5,44.6717561,-63.6557381,2267,88,64,78,947.0,888.0,295.0,294.0
2600,House,2.0,0.0,1.0,44.6368869,-63.635788,950,99,73,72,618.0,560.0,290.0,248.0
800,House,4.0,0.0,1.0,44.636176,-63.5862211,1200,98,65,29,196.0,264.0,257.0,129.0
2250,House,2.0,0.0,1.0,44.5869546,-63.5935246,1000,89,65,80,1187.0,1130.0,512.0,483.0
2700,House,3.0,0.0,1.5,44.5847818,-63.5867738,2184,89,65,80,1203.0,1145.0,528.0,499.0
850,House,5.0,0.0,2.0,44.6436373,-63.6020543,2400,89,65,80,346.0,291.0,162.0,241.0
3350,House,4.0,0.0,2.5,44.6867715,-63.5461896,1200,89,65,80,447.0,848.0,482.0,421.0
2100,House,2.0,0.0,1.0,44.6555916,-63.5954375,1200,89,65,95,237.0,320.0,161.0,154.0
2800,House,3.0,1.0,4.0,44.5999575,-63.6016338,2000,89,65,80,1058.0,1000.0,383.0,353.0
2800,House,4.0,0.0,2.5,44.6780661,-63.5377,1176,89,65,80,593.0,1091.0,610.0,630.0
2000,House,2.0,0.0,1.0,44.6521199,-63.6065838,1200,89,65,73,369.0,438.0,136.0,168.0
3500,House,3.0,0.0,1.0,44.6878958,-63.5410977,2100,89,65,80,517.0,918.0,552.0,491.0
1200,House,5.0,0.0,3.0,44.651908,-63.593051,1200,97,66,66,175.0,259.0,154.0,139.0
1245,Apartment,2.0,0.0,2.0,44.6381326,-63.5759137,1600,80,63,70,126.0,130.0,122.0,96.0
2030,Apartment,1.0,0.0,1.0,44.6496482,-63.5784811,634,98,73,64,185.0,34.0,263.0,226.0
